,A_MARITL,A_SEX,A_HGA,A_AGE,PEAFEVER,PEARNVAL
838,7,2,44,26,2,20000
839,5,1,39,35,2,26000
840,7,1,34,16,-1,0
841,5,2,39,35,2,0
842,1,1,44,62,2,80000
843,1,2,45,52,2,100000
844,7,1,39,18,2,6300
845,1,2,42,54,2,25000
846,1,1,44,57,2,67002
847,7,1,40,23,2,16002
848,7,2,40,20,2,20000
849,3,1,39,54,2,52300
850,7,1,39,40,2,56000
851,1,1,44,42,2,70000
852,1,2,44,46,2,65000
853,7,2,0,9,-1,0
854,7,1,0,5,-1,0
855,7,1,43,31,2,68000
856,7,1,43,32,2,20000
857,1,1,43,46,2,254000
858,1,2,46,44,2,0
859,7,1,0,8,-1,0
860,7,2,0,6,-1,0
861,7,1,39,27,2,30000
862,6,1,39,25,2,35000
863,7,1,39,25,2,45000
864,5,2,43,41,2,0
865,7,2,0,13,-1,0
866,1,1,43,49,2,36000
867,1,2,43,32,2,0
868,7,1,0,13,-1,0
869,7,2,0,3,-1,0
870,7,2,0,2,-1,0
871,1,1,43,44,2,80000
872,1,2,44,42,2,0
873,7,1,38,18,2,0
874,7,1,35,16,-1,2000
875,7,2,0,14,-1,0
876,7,1,0,11,-1,0
877,7,1,39,28,2,50000
878,7,2,0,3,-1,0
879,7,2,40,25,2,0
880,3,2,39,57,2,0
881,7,1,40,26,2,0
882,1,2,43,49,2,24000
883,1,1,43,58,2,40000
884,7,2,40,19,2,0
885,7,2,37,17,2,0
886,7,2,36,15,-1,0
887,1,1,43,85,2,0
888,1,2,43,85,2,0
889,1,1,43,78,1,0
890,1,2,39,78,2,0
891,1,2,43,85,2,0
892,1,1,43,85,2,0
893,1,1,39,68,2,1
894,1,2,39,68,2,0
895,1,2,43,65,2,0
896,1,1,46,69,2,0
897,1,1,44,71,1,0
898,1,2,43,70,2,0
899,1,2,39,53,1,8000
900,1,1,44,53,1,150
901,1,2,42,53,2,7000
902,1,1,43,52,1,110000
903,5,1,43,46,2,125000
904,7,2,42,21,2,28000
905,1,2,40,44,2,2704
906,1,1,41,41,2,50000
907,7,1,0,11,-1,0
908,7,2,0,9,-1,0
909,7,2,0,5,-1,0
910,7,1,0,3,-1,0
911,7,1,40,33,2,26000
912,7,1,42,85,1,0
913,5,1,43,63,1,18000
914,1,1,43,49,2,100000
915,1,2,43,46,2,68000
916,7,2,44,73,2,4000
917,5,1,42,46,2,42000
918,7,2,0,7,-1,0
919,7,2,0,4,-1,0
920,4,2,39,80,2,0
921,7,2,43,47,2,44089
922,7,1,39,32,2,28000
923,1,1,33,73,2,0
924,1,2,39,66,2,0
925,1,1,43,38,2,130000
926,1,2,43,36,2,6000
927,7,1,0,11,-1,0
928,7,1,0,7,-1,0
929,1,1,40,67,2,400000
930,1,2,39,32,2,0
931,1,1,41,63,2,85000
932,1,2,41,59,2,95000
933,7,1,35,15,-1,0
934,4,1,40,80,1,0
935,4,2,39,78,2,0
936,4,2,42,59,2,32000
937,7,2,40,85,2,0
